,home,score
2426,Worcestershire,168.05882352941177
2427,Surrey,155.7906976744186
2429,Essex,167.3409090909091
2432,Lancashire,154.05769230769232
2434,Yorkshire,158.0
2437,Warwickshire,157.925
2439,Gloucestershire,154.63636363636363
2440,Lancashire,154.05769230769232
2441,Durham,155.37142857142857
2445,Glamorgan,145.3548387096774
2447,Lancashire,154.05769230769232
2448,Nottinghamshire,165.47058823529412
2449,Sussex,157.33333333333334
2451,Leicestershire,156.27027027027026
2453,Hampshire,161.79591836734693
2457,Leicestershire,156.27027027027026
2458,England,157.76470588235293
2461,England,157.76470588235293
2463,Abbottabad Falcons,139.45454545454547
2467,Karachi Zebras,159.11111111111111
2469,Lahore Eagles,165.07692307692307
2473,Faisalabad Wolves,149.58620689655172
2487,Namibia,158.0
2496,Cape Cobras,155.15384615384616
2498,Warriors,145.0857142857143
2500,Mumbai Indians,166.9090909090909
2502,New South Wales,137.5
2503,Chennai Super Kings,167.34426229508196
2507,Kolkata Knight Riders,146.57142857142858
2510,Royal Challengers Bangalore,163.95744680851064
2513,Somerset,180.33333333333334
2514,Royal Challengers Bangalore,163.95744680851064
2515,Royal Challengers Bangalore,163.95744680851064
2516,Mumbai Indians,166.9090909090909
2518,Bangladesh,145.13333333333333
2520,South Africa,159.5185185185185
2524,Namibia,158.0
2525,Namibia,158.0
2526,Namibia,158.0
2527,Namibia,158.0
2528,Namibia,158.0
2531,Namibia,158.0
2533,West Indies A,122.6
2534,Pakistan,153.42105263157896
2538,Matabeleland Tuskers,139.0
2540,Matabeleland Tuskers,139.0
2542,Mid West Rhinos,153.42857142857142
2545,Mashonaland Eagles,158.2941176470588
2546,Mashonaland Eagles,158.2941176470588
2548,Mashonaland Eagles,158.2941176470588
2550,Easterns,148.33333333333334
2553,Western Province,151.5
2554,Boland,146.57142857142858
2555,Northerns,129.5
2563,Eastern Province,131.92307692307693
2564,Free State,150.9
2566,Eastern Province,131.92307692307693
2567,Griqualand West,138.44444444444446
2570,KwaZulu-Natal,137.2
2577,Western Province,151.5
2579,Boland,146.57142857142858
2580,Griqualand West,138.44444444444446
2581,Gauteng,129.22222222222223
2582,Eastern Province,131.92307692307693
2583,KwaZulu-Natal Inland,137.25
2584,North West,168.88888888888889
2585,Northerns,129.5
2586,South Western Districts,133.6
2587,Easterns,148.33333333333334
2588,KwaZulu-Natal,137.2
2589,North West,168.88888888888889
2594,Guyana,139.57142857142858
2599,Jamaica,117.36363636363636
2600,Barbados,120.84615384615384
2603,Combined Campuses and Colleges,134.5
2604,Barbados,120.84615384615384
2608,Barbados,120.84615384615384
2611,Jamaica,117.36363636363636
2612,Barbados,120.84615384615384
2613,Jamaica,117.36363636363636
2617,Auckland,164.25714285714287
2619,Otago,169.0
2620,Auckland,164.25714285714287
2621,Canterbury,161.9
2623,Wellington,166.35294117647058
2628,Otago,169.0
2629,Central Districts,165.9090909090909
2632,Northern Districts,159.875
2634,Auckland,164.25714285714287
2635,Canterbury,161.9
2639,Auckland,164.25714285714287
2642,Canterbury,161.9
2645,Central Districts,165.9090909090909
2647,Auckland,164.25714285714287
2649,Bangladesh A,166.0
2650,Sydney Sixers,157.54545454545453
