,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
3832,Correo de Inocentes,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
3833,Technical Support,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3835,Tonight at 11:00,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3855,8 al dia,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3862,Aaron Burr; Part 2,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3863,Unter Wasser atmen - Das zweite Leben des Dr. Nils Jent,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3874,Teens Like Phil,4 wins.,['4'],[],[],[],[],[],[],[],[],[]
3878,Revolution,Won 1 Primetime Emmy. Another 3 wins & 11 nominations.,['3'],['11'],[],[],[],[],[],[],['1'],[]
3881,Stockholm East,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
3883,Family Affair,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3896,The Birds of Anger,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3898,2011 World Series,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3903,Agora é Tarde,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3904,Adults Only,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
3916,Hitman 101,6 nominations.,[],['6'],[],[],[],[],[],[],[],[]
3919,The First on the List,4 wins & 4 nominations.,['4'],['4'],[],[],[],[],[],[],[],[]
3922,All Over the Place,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3924,Vietnam in HD,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
3926,The Gate,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3927,Achat Efes Efes,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
3934,Allie Haze: True Sex,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3935,Segunda mano,2 wins & 27 nominations.,['2'],['27'],[],[],[],[],[],[],[],[]
3942,Born on the 25th of January,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3952,Add a Friend,3 wins & 1 nomination.,['3'],['1'],[],[],[],[],[],[],[],[]
3954,Happily Never After,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
3987,Life is a Beach,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3988,30 for 30 Shorts,Won 1 Primetime Emmy. Another 4 nominations.,[],['4'],[],[],[],[],[],[],['1'],[]
3994,The Arrival,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3995,A Moody Christmas,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
3997,(fdp),1 win.,['1'],[],[],[],[],[],[],[],[],[]
4000,Southwest,13 wins & 7 nominations.,['13'],['7'],[],[],[],[],[],[],[],[]
4003,4 O'Clock Club,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
4024,Pablo Escobar: El Patrón del Mal,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
4030,Blue,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
4031,The 2011 US Open Tennis Championships,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4034,The X Factor Philippines,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4035,Epilogue,13 wins & 5 nominations.,['13'],['5'],[],[],[],[],[],[],[],[]
4037,666 Park Avenue,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4092,Medo de Sangue,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4112,Alifim,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4113,Chicago Fire,4 wins & 16 nominations.,['4'],['16'],[],[],[],[],[],[],[],[]
4118,A Thousand Days' Promise,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
4119,A Walk in the Park,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4122,1600 Penn,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4144,Rocky Mountain Express,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4211,Accel World,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
4217,This Ain't Jaws XXX,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4224,Katie,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4229,Marcelo Yuka no Caminho das Setas (Marcelo Yuka: Follow the Signs),2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
4234,A Gentleman's Dignity,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
4238,Laptop,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4250,31 Questions,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4265,Invitation,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4268,Eating Alabama,6 nominations.,[],['6'],[],[],[],[],[],[],[],[]
4278,A Football Life,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4283,A Poem Is...,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4289,Race to the Top Commencement Challenge Special,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4291,A Mother's Son,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4318,Australia's Lost Gold: The Legend of Lasseter,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4333,The Con Job,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4338,Absolute Mehrheit - Meinung muss sich wieder lohnen,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4356,Benji,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4363,Wild Things with Dominic Monaghan,Nominated for 1 Primetime Emmy. Another 3 nominations.,[],['3'],[],[],[],[],[],[],[],['1']
4366,EDSA XXX: Nothing Ever Changes in the Ever-Changing Republic of Ek-Ek-Ek,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4371,No Place Like Home,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4423,The Kennedy Center Honors,Won 2 Primetime Emmys. Another 2 nominations.,[],['2'],[],[],[],[],[],[],['2'],[]
4429,Abigail,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4433,Agony,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
4445,Allenby St.,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
4473,6 passi nel giallo,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4505,Lisa Ann Fantasy Girl,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4506,Against Our Will Campaign,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4539,7.30,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4585,The Artist,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4586,Apocalypse,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4588,Ransom,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4616,Ako ang simula,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4626,A Beautiful Affair,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4697,2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,['13'],['7'],[],[],[],['1'],[],[],[],[]
4698,2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,['13'],['7'],[],[],[],['1'],[],[],[],[]
4699,Happy Days,Won 3 Golden Globes. Another 13 wins & 19 nominations.,['13'],['19'],['3'],[],[],[],[],[],[],[]
4700,Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,['48'],['28'],[],[],[],['6'],[],[],[],[]
4701,The Hobbit,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
4702,Youngblood,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4703,Youngblood,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4704,Star Trek: The Next Generation,Won 18 Primetime Emmys. Another 16 wins & 60 nominations.,['16'],['60'],[],[],[],[],[],[],['18'],[]
4707,Liar Liar,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,['4'],['5'],[],['1'],[],[],[],[],[],[]
4710,The Secret Life of Walter Mitty,5 wins & 16 nominations.,['5'],['16'],[],[],[],[],[],[],[],[]
4711,Gameboy,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4712,The Wayne Brady Show,6 wins & 5 nominations.,['6'],['5'],[],[],[],[],[],[],[],[]
4713,Action Jackson,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
4714,The Wild,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4715,Battlestar Galactica,Won 3 Primetime Emmys. Another 34 wins & 89 nominations.,['34'],['89'],[],[],[],[],[],[],['3'],[]
4716,Transformers,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,['19'],['40'],[],[],['3'],[],[],[],[],[]
4718,The A-Team,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
4719,Alan Partridge,1 win & 7 nominations.,['1'],['7'],[],[],[],[],[],[],[],[]
4720,The Croods,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,['5'],['41'],[],[],['1'],[],[],[],[],[]
4724,Escape from Planet Earth,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4725,Man of Steel,7 wins & 42 nominations.,['7'],['42'],[],[],[],[],[],[],[],[]
4727,The Boxtrolls,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,['8'],['58'],[],[],['1'],[],[],[],[],[]
4728,Interstellar,Won 1 Oscar. Another 39 wins & 134 nominations.,['39'],['134'],[],[],[],['1'],[],[],[],[]
4729,World War Z,3 wins & 23 nominations.,['3'],['23'],[],[],[],[],[],[],[],[]
4731,Dracula Untold,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
4732,Godzilla,5 wins & 28 nominations.,['5'],['28'],[],[],[],[],[],[],[],[]
4733,The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,['34'],['75'],[],[],['1'],[],[],[],[],[]
4734,Epic,2 wins & 21 nominations.,['2'],['21'],[],[],[],[],[],[],[],[]
4736,Mr. Peabody & Sherman,2 wins & 16 nominations.,['2'],['16'],[],[],[],[],[],[],[],[]
4737,Love & Mercy,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations.,['20'],['52'],[],['2'],[],[],[],[],[],[]
4738,Rule Number One,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
4740,The Sisterhood of Night,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
4741,I Believe in Unicorns,2 wins & 7 nominations.,['2'],['7'],[],[],[],[],[],[],[],[]
4742,Perfection,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4744,Jack Ryan: Shadow Recruit,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4745,The Lone Ranger,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,['4'],['17'],[],[],['2'],[],[],[],[],[]
4747,Anchorman 2: The Legend Continues,1 win & 23 nominations.,['1'],['23'],[],[],[],[],[],[],[],[]
4748,RoboCop,4 wins & 1 nomination.,['4'],['1'],[],[],[],[],[],[],[],[]
4754,Teenage Mutant Ninja Turtles,1 win & 10 nominations.,['1'],['10'],[],[],[],[],[],[],[],[]
4755,Iron Man 3,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,['17'],['53'],[],[],['1'],[],[],[],[],[]
4756,The Great Gatsby,Won 2 Oscars. Another 44 wins & 74 nominations.,['44'],['74'],[],[],[],['2'],[],[],[],[]
4757,If I Stay,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
4759,Star Trek Into Darkness,Nominated for 1 Oscar. Another 6 wins & 46 nominations.,['6'],['46'],[],[],['1'],[],[],[],[],[]
4760,Hansel & Gretel: Witch Hunters,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
4761,The Wolverine,2 wins & 11 nominations.,['2'],['11'],[],[],[],[],[],[],[],[]
4762,Monsters University,Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations.,['9'],['54'],[],[],[],[],['1'],[],[],[]
4763,Gravity,Won 7 Oscars. Another 215 wins & 169 nominations.,['215'],['169'],[],[],[],['7'],[],[],[],[]
4764,Big Sur,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4767,The Lego Movie,Nominated for 1 Oscar. Another 70 wins & 59 nominations.,['70'],['59'],[],[],['1'],[],[],[],[],[]
4769,Exodus: Gods and Kings,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
4770,The Skeleton Twins,4 wins & 10 nominations.,['4'],['10'],[],[],[],[],[],[],[],[]
4771,Maleficent,Nominated for 1 Oscar. Another 9 wins & 40 nominations.,['9'],['40'],[],[],['1'],[],[],[],[],[]
4772,Warm Bodies,1 win & 9 nominations.,['1'],['9'],[],[],[],[],[],[],[],[]
4773,Monument to Michael Jackson,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
4774,24: Live Another Day,Nominated for 3 Primetime Emmys. Another 14 nominations.,[],['14'],[],[],[],[],[],[],[],['3']
4775,A Good Day to Die Hard,3 wins & 7 nominations.,['3'],['7'],[],[],[],[],[],[],[],[]
4777,Free Birds,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4779,Oz the Great and Powerful,5 wins & 31 nominations.,['5'],['31'],[],[],[],[],[],[],[],[]
4780,Edge of Tomorrow,11 wins & 34 nominations.,['11'],['34'],[],[],[],[],[],[],[],[]
4782,Romeo & Juliet,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
4783,How to Train Your Dragon 2,Nominated for 1 Oscar. Another 13 wins & 59 nominations.,['13'],['59'],[],[],['1'],[],[],[],[],[]
4784,Kick-Ass 2,1 win & 7 nominations.,['1'],['7'],[],[],[],[],[],[],[],[]
4785,A Miracle in Spanish Harlem,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4787,Pacific Rim,Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations.,['5'],['42'],[],[],[],[],['1'],[],[],[]
4789,Now You See Me,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
4794,Despicable Me 2,Nominated for 2 Oscars. Another 12 wins & 63 nominations.,['12'],['63'],[],[],['2'],[],[],[],[],[]
4795,Mario Lopez: Saved by the Baby,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4796,Planes,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
4797,All Fall Down,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4798,Alexander and the Terrible; Horrible; No Good; Very Bad Day,1 win & 7 nominations.,['1'],['7'],[],[],[],[],[],[],[],[]
4800,Meth Head,14 wins.,['14'],[],[],[],[],[],[],[],[],[]
4801,Anna,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
4802,Sugar,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
4803,Ender's Game,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
4807,Brother's Keeper,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
4808,1864,8 nominations.,[],['8'],[],[],[],[],[],[],[],[]
4809,Walking with Dinosaurs 3D,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4811,The Maze Runner,4 wins & 10 nominations.,['4'],['10'],[],[],[],[],[],[],[],[]
4812,Tokyo Family,2 wins & 16 nominations.,['2'],['16'],[],[],[],[],[],[],[],[]
4814,After Earth,3 wins & 7 nominations.,['3'],['7'],[],[],[],[],[],[],[],[]
4816,The Nut Job,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
4817,About Last Night,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4819,A Spell to Ward Off the Darkness,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
4820,Big Ass Spider!,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4822,The War Around Us,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4823,Last Love,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4825,Captain America: The Winter Soldier,Nominated for 1 Oscar. Another 5 wins & 49 nominations.,['5'],['49'],[],[],['1'],[],[],[],[],[]
4826,The German Doctor,18 wins & 22 nominations.,['18'],['22'],[],[],[],[],[],[],[],[]
4827,House of Cards,Won 2 Golden Globes. Another 25 wins & 162 nominations.,['25'],['162'],['2'],[],[],[],[],[],[],[]
4829,Turbo,1 win & 11 nominations.,['1'],['11'],[],[],[],[],[],[],[],[]
4830,Song of the Sea,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,['11'],['21'],[],[],['1'],[],[],[],[],[]
4833,The Amazing Spider-Man 2,3 wins & 29 nominations.,['3'],['29'],[],[],[],[],[],[],[],[]
4834,X-Men: Days of Future Past,Nominated for 1 Oscar. Another 15 wins & 42 nominations.,['15'],['42'],[],[],['1'],[],[],[],[],[]
4838,These Are the Rules,9 wins & 4 nominations.,['9'],['4'],[],[],[],[],[],[],[],[]
4839,Fast & Furious 6,8 wins & 21 nominations.,['8'],['21'],[],[],[],[],[],[],[],[]
4840,The Call,1 win & 10 nominations.,['1'],['10'],[],[],[],[],[],[],[],[]
4841,Penguins of Madagascar,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
4842,Worlds Apart,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4844,Trash,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,['2'],['4'],[],[],[],[],['1'],[],[],[]
4845,Let's Be Cops,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4847,The Big Wedding,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4851,Carrie,5 wins & 7 nominations.,['5'],['7'],[],[],[],[],[],[],[],[]
4852,Red Sky,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4855,The Hangover Part III,2 wins & 6 nominations.,['2'],['6'],[],[],[],[],[],[],[],[]
4856,The Hunger Games: Catching Fire,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.,['21'],['59'],[],['1'],[],[],[],[],[],[]
4857,The Hunger Games: Mockingjay - Part 1,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,['16'],['26'],[],['1'],[],[],[],[],[],[]
4860,Sex Tape,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
4861,Delivery: The Beast Within,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4862,Hide Your Smiling Faces,8 wins & 6 nominations.,['8'],['6'],[],[],[],[],[],[],[],[]
4863,Strike One,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
4864,A Most Wanted Man,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
4865,The Cooler Bandits,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4867,Thor: The Dark World,2 wins & 18 nominations.,['2'],['18'],[],[],[],[],[],[],[],[]
4868,Cloudy with a Chance of Meatballs 2,16 nominations.,[],['16'],[],[],[],[],[],[],[],[]
4869,Machete Kills,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
4870,Neighbors,6 wins & 11 nominations.,['6'],['11'],[],[],[],[],[],[],[],[]
4871,Heavenly Sword,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4872,Guardians of the Galaxy,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,['48'],['92'],[],[],['2'],[],[],[],[],[]
4873,Mirage,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4874,All Is Lost,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,['3'],['45'],[],[],['1'],[],[],[],[],[]
4875,Banshee,Won 1 Primetime Emmy. Another 1 win & 5 nominations.,['1'],['5'],[],[],[],[],[],[],['1'],[]
4876,Closer to the Moon,9 wins & 3 nominations.,['9'],['3'],[],[],[],[],[],[],[],[]
4877,Non-Stop,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4878,12 Years a Slave,Won 3 Oscars. Another 234 wins & 312 nominations.,['234'],['312'],[],[],[],['3'],[],[],[],[]
4884,On the Line,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4885,Cracked,7 nominations.,[],['7'],[],[],[],[],[],[],[],[]
4886,Armed Response,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4887,Ashley,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
4888,Grace of Monaco,Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],['2']
4889,Dumb and Dumber To,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
4890,Pieces of Talent,4 wins.,['4'],[],[],[],[],[],[],[],[],[]
4893,Grand Theft Auto V,10 wins & 23 nominations.,['10'],['23'],[],[],[],[],[],[],[],[]
4895,Lust for Love,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
4896,Celebrity Name Game,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4900,Steve Chong Finds Out That Suicide Is a Bad Idea,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
4902,Sofia the First,Nominated for 2 Primetime Emmys. Another 4 wins & 15 nominations.,['4'],['15'],[],[],[],[],[],[],[],['2']
4905,Josh,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
4906,Saving Mr. Banks,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,['12'],['71'],[],[],['1'],[],[],[],[],[]
4909,Welcome Home,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4910,Dancing on the Edge,Won 1 Golden Globe. Another 4 wins & 16 nominations.,['4'],['16'],['1'],[],[],[],[],[],[],[]
4912,Batman: The Dark Knight Returns; Part 2,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4913,Tracks,2 wins & 18 nominations.,['2'],['18'],[],[],[],[],[],[],[],[]
4915,Finding Mr. Right,9 wins & 13 nominations.,['9'],['13'],[],[],[],[],[],[],[],[]
4916,Valentino,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4919,The Art of the Steal,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
4922,Into the Woods,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,['11'],['69'],[],[],['3'],[],[],[],[],[]
4924,Death Do Us Part,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4928,Bates Motel,Nominated for 3 Primetime Emmys. Another 2 wins & 48 nominations.,['2'],['48'],[],[],[],[],[],[],[],['3']
4931,Stage Fright,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4932,A Promise,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4933,Sex; Drugs & Taxation,4 wins & 12 nominations.,['4'],['12'],[],[],[],[],[],[],[],[]
4934,Welcome to the Jungle,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4935,About Time,3 wins & 9 nominations.,['3'],['9'],[],[],[],[],[],[],[],[]
4936,The Disciple,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
4939,Futuro Beach,8 wins & 11 nominations.,['8'],['11'],[],[],[],[],[],[],[],[]
4940,The Hot Flashes,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4942,The Other Woman,3 wins & 4 nominations.,['3'],['4'],[],[],[],[],[],[],[],[]
4945,Transcendence,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
4951,Amber,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4954,Don Jon,1 win & 28 nominations.,['1'],['28'],[],[],[],[],[],[],[],[]
4955,Sand Castles,13 wins & 11 nominations.,['13'],['11'],[],[],[],[],[],[],[],[]
4956,The Love Punch,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4959,Bob Servant Independent,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
4963,A Haunted House,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4964,I Give It a Year,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
4965,Big Hero 6,Won 1 Oscar. Another 13 wins & 53 nominations.,['13'],['53'],[],[],[],['1'],[],[],[],[]
4966,Scars,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4970,The Film Critic,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
4971,Broadchurch,19 wins & 21 nominations.,['19'],['21'],[],[],[],[],[],[],[],[]
4975,The Best Friend,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4977,A Place to Call Home,1 win & 8 nominations.,['1'],['8'],[],[],[],[],[],[],[],[]
4981,Four Moons,3 wins & 4 nominations.,['3'],['4'],[],[],[],[],[],[],[],[]
4982,Bigshot,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
4984,The Book of Life,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations.,['3'],['27'],[],['1'],[],[],[],[],[],[]
4985,Dragon Ball Z: Battle of Gods,7 wins & 4 nominations.,['7'],['4'],[],[],[],[],[],[],[],[]
4986,Drinking Buddies,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
4988,Joshua Tree,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
4989,Gone Girl,Nominated for 1 Oscar. Another 64 wins & 169 nominations.,['64'],['169'],[],[],['1'],[],[],[],[],[]
4990,These Final Hours,3 wins & 7 nominations.,['3'],['7'],[],[],[],[],[],[],[],[]
4993,Revolution,1 win.,['1'],[],[],[],[],[],[],[],[],[]
4994,Cuéntame un cuento,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
4996,The Grand Budapest Hotel,Won 4 Oscars. Another 122 wins & 213 nominations.,['122'],['213'],[],[],[],['4'],[],[],[],[]
4999,The Coin,1 win.,['1'],[],[],[],[],[],[],[],[],[]
5000,Muppets Most Wanted,3 wins & 11 nominations.,['3'],['11'],[],[],[],[],[],[],[],[]
5001,Man from Reno,3 wins & 4 nominations.,['3'],['4'],[],[],[],[],[],[],[],[]
5002,Witches of East End,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
5003,Once Upon a Time in Shanghai,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
5005,The Canyons,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
5006,Frozen,Won 2 Oscars. Another 72 wins & 57 nominations.,['72'],['57'],[],[],[],['2'],[],[],[],[]
5008,Bread and Butter,3 wins & 5 nominations.,['3'],['5'],[],[],[],[],[],[],[],[]
5009,Dracula,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
5010,Love Is in the Air,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
5015,The Hobbit: The Battle of the Five Armies,Nominated for 1 Oscar. Another 6 wins & 45 nominations.,['6'],['45'],[],[],['1'],[],[],[],[],[]
5019,Eve of Destruction,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
5021,Beauty and the Beast,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
5022,De Wederopstanding van een Klootzak,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
5027,The Notebook,5 wins & 2 nominations.,['5'],['2'],[],[],[],[],[],[],[],[]
5028,Beware the Batman,11 nominations.,[],['11'],[],[],[],[],[],[],[],[]
5032,The Expendables 3,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
5034,Chocolat,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
5037,The Woman in Black 2: Angel of Death,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
5038,The Well,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
