,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
794,The Wedding,13 wins & 7 nominations.,['13'],['7'],[],[],[],[],[],[],[],[]
810,Afers exteriors,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
816,Mothers; Fathers; and Other Strangers,1 win.,['1'],[],[],[],[],[],[],[],[],[]
829,Anal Surprise Party,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
835,Eye of the Beholder,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
837,Tails from the Toilet,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
840,59 segundos,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
846,Love Hurts,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
867,Close Encounters with Keith Barry,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
868,Muttertag,1 win.,['1'],[],[],[],[],[],[],[],[],[]
871,Star Wars: Knights of the Old Republic II - The Sith Lords,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
874,A Escrava Isaura,1 win & 15 nominations.,['1'],['15'],[],[],[],[],[],[],[],[]
877,The Uninvited Guest,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
891,6Teen,1 win & 5 nominations.,['1'],['5'],[],[],[],[],[],[],[],[]
892,969,3 wins & 3 nominations.,['3'],['3'],[],[],[],[],[],[],[],[]
896,Sex Across America: The Tenth Stop Aspen,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
899,Akai tsuki,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
914,Sex Ed,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
915,A Diarista,6 wins & 6 nominations.,['6'],['6'],[],[],[],[],[],[],[],[]
916,American Latino TV,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
