,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100
702,2008,47,2,Mumbai Indians,SD Chitnis,15,6.0,250.0,0,0,0
703,2008,47,2,Mumbai Indians,SM Pollock,0,1.0,0.0,0,0,0
704,2008,47,2,Mumbai Indians,SR Tendulkar,65,46.0,141.3,1,1,0
705,2008,47,2,Mumbai Indians,ST Jayasuriya,20,12.0,166.67,0,0,0
706,2008,47,2,Mumbai Indians,VS Yeligati,2,2.0,100.0,0,0,0
707,2008,48,1,Royal Challengers Bangalore,A Kumble,2,1.0,200.0,0,0,0
708,2008,48,1,Royal Challengers Bangalore,B Akhil,6,7.0,85.71,0,0,0
709,2008,48,1,Royal Challengers Bangalore,JH Kallis,5,5.0,100.0,0,0,0
710,2008,48,1,Royal Challengers Bangalore,MV Boucher,17,15.0,113.33,0,0,0
711,2008,48,1,Royal Challengers Bangalore,Misbah-ul-Haq,4,6.0,66.67,0,0,0
712,2008,48,1,Royal Challengers Bangalore,P Kumar,21,11.0,190.91,0,0,0
713,2008,48,1,Royal Challengers Bangalore,R Dravid,47,39.0,120.51,1,0,0
714,2008,48,1,Royal Challengers Bangalore,R Vinay Kumar,0,1.0,0.0,0,0,0
715,2008,48,1,Royal Challengers Bangalore,SP Goswami,10,19.0,52.63,0,0,0
716,2008,48,1,Royal Challengers Bangalore,V Kohli,10,16.0,62.5,0,0,0
