Name,City,Country Code,Days,Start,End
ma chicago,Melbourne,AU,5,1030,1530
ma chicago,Melbourne,AU,6,1030,1530
ma chicago,Sydney,AU,0,0900,2200
ma chicago,Sydney,AU,1,0900,2200
ma chicago,Sydney,AU,2,0900,2200
ma chicago,Sydney,AU,3,0900,2200
ma chicago,Sydney,AU,4,0900,2200
ma chicago,Sydney,AU,5,0730,2230
ma chicago,Sydney,AU,6,0730,2230
ma chicago,Canberra,AU,0,1100,1500
ma chicago,Canberra,AU,0,1700,2200
ma chicago,Canberra,AU,1,1100,1500
ma chicago,Canberra,AU,1,1700,2200
ma chicago,Canberra,AU,2,1100,1500
ma chicago,Canberra,AU,2,1700,2200
ma chicago,Canberra,AU,3,1100,1500
ma chicago,Canberra,AU,3,1700,2200
ma chicago,Canberra,AU,4,1100,1500
ma chicago,Canberra,AU,4,1700,2200
ma chicago,Canberra,AU,5,1100,1500
ma chicago,Canberra,AU,5,1700,2200
ma chicago,Canberra,AU,6,1100,1500
ma chicago,Canberra,AU,6,1700,2200
ma chicago,Sydney,AU,0,0700,1600
ma chicago,Sydney,AU,1,0700,1600
ma chicago,Sydney,AU,2,0700,1600
ma chicago,Sydney,AU,3,0700,2130
ma chicago,Sydney,AU,4,0700,2130
ma chicago,Sydney,AU,5,0800,1500
ma chicago,Melbourne,AU,0,1100,2100
ma chicago,Melbourne,AU,1,1100,2100
ma chicago,Melbourne,AU,2,1100,2100
ma chicago,Melbourne,AU,3,1100,2100
ma chicago,Melbourne,AU,4,1100,2130
ma chicago,Melbourne,AU,5,1100,2100
ma chicago,Melbourne,AU,6,1100,2100
ma chicago,Sydney,AU,0,0700,1900
ma chicago,Sydney,AU,1,0700,1900
ma chicago,Sydney,AU,2,0700,1900
ma chicago,Sydney,AU,3,0700,1900
ma chicago,Sydney,AU,4,0700,1900
ma chicago,Sydney,AU,5,0700,1900
ma chicago,Sydney,AU,6,0700,1900
ma chicago,Perth,AU,0,1130,1430
ma chicago,Perth,AU,0,1715,2230
